episode,reward,intercepted,breached,success_rate
174,1900.00,13,0,61.9
175,2400.00,18,0,78.3
176,2500.00,19,0,79.2
177,2200.00,16,0,72.7
178,2300.00,17,0,65.4
179,1699.00,16,1,84.2
180,2800.00,22,0,84.6
181,1999.00,19,1,79.2
182,2500.00,19,0,70.4
183,2000.00,14,0,58.3
184,1799.00,17,1,85.0
185,1399.00,13,1,68.4
186,2200.00,16,0,76.2
187,2500.00,19,0,86.4
188,1900.00,13,0,59.1
189,2200.00,16,0,66.7
190,2200.00,16,0,66.7
191,2199.00,21,1,80.8
192,2200.00,16,0,69.6
193,2400.00,18,0,78.3
194,2500.00,19,0,76.0
195,2200.00,16,0,72.7
196,2100.00,15,0,65.2
197,2300.00,17,0,77.3
198,2099.00,20,1,80.0
199,2600.00,20,0,74.1
200,1298.00,17,2,65.4
201,2800.00,22,0,95.7
202,2300.00,17,0,70.8
203,2400.00,18,0,75.0
204,1900.00,13,0,59.1
205,2500.00,19,0,90.5
206,2700.00,21,0,80.8
207,2400.00,18,0,75.0
208,1499.00,14,1,56.0
209,2600.00,20,0,83.3
210,1999.00,19,1,79.2
211,2400.00,18,0,90.0
212,1098.00,15,2,71.4
213,2000.00,14,0,66.7
214,1600.00,10,0,47.6
215,2100.00,15,0,68.2
216,1499.00,14,1,70.0
217,2300.00,17,0,70.8
218,1900.00,13,0,61.9
219,2300.00,17,0,68.0
220,2200.00,16,0,80.0
221,2500.00,19,0,82.6
222,2400.00,18,0,75.0
223,2500.00,19,0,82.6
224,2400.00,18,0,90.0
225,2100.00,15,0,75.0
226,1799.00,17,1,77.3
227,2200.00,16,0,61.5
228,2500.00,19,0,79.2
229,1399.00,13,1,59.1
230,1599.00,15,1,62.5
231,2200.00,16,0,84.2
232,1699.00,16,1,72.7
233,2300.00,17,0,70.8
234,2300.00,17,0,81.0
235,2700.00,21,0,77.8
236,2400.00,18,0,85.7
237,2100.00,15,0,65.2
238,2300.00,17,0,77.3
239,1999.00,19,1,82.6
240,2600.00,20,0,87.0
241,2700.00,21,0,95.5
242,2200.00,16,0,66.7
243,2800.00,22,0,88.0
244,2400.00,18,0,85.7
245,2300.00,17,0,77.3
246,1699.00,16,1,76.2
247,1399.00,13,1,56.5
248,2600.00,20,0,80.0
249,2400.00,18,0,78.3
250,2500.00,19,0,82.6
251,2400.00,18,0,75.0
252,1399.00,13,1,65.0
253,2000.00,14,0,60.9
254,2500.00,19,0,82.6
255,2400.00,18,0,78.3
256,1499.00,14,1,73.7
257,2400.00,18,0,78.3
258,1900.00,13,0,68.4
259,1700.00,11,0,57.9
260,2600.00,20,0,80.0
261,2400.00,18,0,94.7
262,1299.00,12,1,60.0
263,2400.00,18,0,81.8
264,2200.00,16,0,80.0
265,2300.00,17,0,77.3
266,1900.00,13,0,56.5
267,1799.00,17,1,70.8
268,2300.00,17,0,73.9
269,2100.00,15,0,71.4
270,2500.00,19,0,73.1
271,2000.00,14,0,60.9
272,2400.00,18,0,85.7
273,2100.00,15,0,65.2
274,2600.00,20,0,83.3
275,2500.00,19,0,79.2
276,1499.00,14,1,70.0
277,2200.00,16,0,76.2
278,2400.00,18,0,75.0
279,2700.00,21,0,77.8
280,2500.00,19,0,79.2
281,2200.00,16,0,64.0
282,2500.00,19,0,76.0
283,2500.00,19,0,79.2
284,2300.00,17,0,68.0
285,2300.00,17,0,85.0
286,2500.00,19,0,76.0
287,2600.00,20,0,74.1
288,1899.00,18,1,75.0
289,2500.00,19,0,73.1
290,2300.00,17,0,68.0
291,2700.00,21,0,77.8
292,2000.00,14,0,70.0
293,2600.00,20,0,80.0
294,2200.00,16,0,76.2
295,1399.00,13,1,68.4
296,2100.00,15,0,65.2
297,2400.00,18,0,75.0
298,1799.00,17,1,70.8
299,1900.00,13,0,65.0
300,1699.00,16,1,64.0
301,1900.00,13,0,59.1
302,1699.00,16,1,69.6
303,2600.00,20,0,80.0
304,2099.00,20,1,76.9
305,698.00,11,2,52.4
306,1900.00,13,0,61.9
307,2600.00,20,0,90.9
308,2800.00,22,0,81.5
309,2099.00,20,1,76.9
310,2500.00,19,0,76.0
311,2200.00,16,0,64.0
312,1899.00,18,1,78.3
313,2500.00,19,0,86.4
314,2300.00,17,0,70.8
315,2500.00,19,0,82.6
316,2600.00,20,0,76.9
317,2000.00,14,0,66.7
318,1900.00,13,0,68.4
319,2200.00,16,0,66.7
320,2099.00,20,1,87.0
321,2200.00,16,0,59.3
322,2200.00,16,0,69.6
323,1800.00,12,0,60.0
324,2100.00,15,0,62.5
325,2300.00,17,0,81.0
326,2099.00,20,1,87.0
327,2099.00,20,1,74.1
328,1899.00,18,1,66.7
329,1800.00,12,0,57.1
330,2400.00,18,0,72.0
331,2000.00,14,0,60.9
332,2500.00,19,0,76.0
333,2400.00,18,0,78.3
334,2300.00,17,0,65.4
335,2100.00,15,0,62.5
336,2200.00,16,0,72.7
337,2100.00,15,0,75.0
338,2800.00,22,0,88.0
339,2200.00,16,0,66.7
340,2700.00,21,0,87.5
341,2100.00,15,0,71.4
342,1800.00,12,0,63.2
343,2200.00,16,0,66.7
344,2800.00,22,0,78.6
345,2700.00,21,0,80.8
346,1699.00,16,1,76.2
347,1799.00,17,1,70.8
348,2400.00,18,0,72.0
349,2300.00,17,0,68.0
350,2100.00,15,0,71.4
351,2300.00,17,0,70.8
352,2300.00,17,0,77.3
353,2300.00,17,0,68.0
354,1399.00,13,1,59.1
355,2200.00,16,0,72.7
356,2100.00,15,0,65.2
357,2200.00,16,0,76.2
358,2300.00,17,0,77.3
359,2200.00,16,0,72.7
360,2300.00,17,0,73.9
361,1499.00,14,1,58.3
362,2700.00,21,0,87.5
363,998.00,14,2,66.7
364,1399.00,13,1,56.5
365,2000.00,14,0,60.9
366,2100.00,15,0,71.4
367,1799.00,17,1,60.7
368,1899.00,18,1,78.3
369,2200.00,16,0,64.0
370,1699.00,16,1,76.2
371,2299.00,22,1,78.6
372,2500.00,19,0,90.5
373,2600.00,20,0,80.0
374,2400.00,18,0,69.2
375,2400.00,18,0,81.8
376,1699.00,16,1,66.7
377,1599.00,15,1,60.0
378,1699.00,16,1,72.7
379,1498.00,19,2,76.0
380,2200.00,16,0,69.6
381,2100.00,15,0,62.5
382,1700.00,11,0,47.8
383,2200.00,16,0,66.7
384,2600.00,20,0,95.2
385,2200.00,16,0,66.7
386,2200.00,16,0,69.6
387,1900.00,13,0,59.1
388,1699.00,16,1,69.6
389,497.00,14,3,63.6
390,2000.00,14,0,60.9
391,2800.00,22,0,84.6
392,2300.00,17,0,85.0
393,2100.00,15,0,75.0
394,1599.00,15,1,57.7
395,2500.00,19,0,82.6
396,2300.00,17,0,70.8
397,2900.00,23,0,88.5
398,1699.00,16,1,80.0
399,1999.00,19,1,76.0
400,2300.00,17,0,81.0
401,2500.00,19,0,73.1
402,2300.00,17,0,73.9
403,2100.00,15,0,75.0
404,2500.00,19,0,79.2
405,2300.00,17,0,65.4
406,2000.00,14,0,58.3
407,2400.00,18,0,66.7
408,2300.00,17,0,81.0
409,2800.00,22,0,88.0
410,1398.00,18,2,69.2
411,1899.00,18,1,75.0
412,2200.00,16,0,69.6
413,998.00,14,2,63.6
414,2200.00,16,0,69.6
415,1900.00,13,0,59.1
416,1198.00,16,2,69.6
417,2200.00,16,0,76.2
418,2400.00,18,0,75.0
419,2500.00,19,0,76.0
420,1799.00,17,1,65.4
421,1499.00,14,1,63.6
422,1900.00,13,0,59.1
423,2400.00,18,0,78.3
424,2400.00,18,0,81.8
425,2600.00,20,0,87.0
426,1799.00,17,1,85.0
427,1699.00,16,1,69.6
428,2400.00,18,0,75.0
429,1498.00,19,2,73.1
430,2400.00,18,0,75.0
431,1098.00,15,2,75.0
432,2100.00,15,0,65.2
433,1599.00,15,1,62.5
434,1699.00,16,1,64.0
435,1800.00,12,0,63.2
436,2200.00,16,0,66.7
437,2100.00,15,0,68.2
438,2100.00,15,0,75.0
439,1399.00,13,1,61.9
440,1098.00,15,2,75.0
441,1799.00,17,1,89.5
442,2300.00,17,0,77.3
443,2500.00,19,0,76.0
444,1800.00,12,0,60.0
445,2100.00,15,0,71.4
446,2300.00,17,0,68.0
447,1599.00,15,1,62.5
448,2500.00,19,0,86.4
449,2500.00,19,0,79.2
450,2200.00,16,0,64.0
451,2300.00,17,0,81.0
452,1598.00,20,2,76.9
453,2400.00,18,0,72.0
454,2300.00,17,0,81.0
455,2000.00,14,0,70.0
456,1599.00,15,1,71.4
457,2600.00,20,0,83.3
458,1499.00,14,1,60.9
459,1699.00,16,1,72.7
460,2300.00,17,0,85.0
461,1599.00,15,1,75.0
462,2700.00,21,0,80.8
463,2400.00,18,0,69.2
464,2100.00,15,0,78.9
465,2700.00,21,0,95.5
466,1799.00,17,1,70.8
467,1399.00,13,1,59.1
468,2100.00,15,0,71.4
469,1900.00,13,0,59.1
470,2600.00,20,0,83.3
471,2200.00,16,0,69.6
472,2600.00,20,0,76.9
473,2500.00,19,0,73.1
474,2099.00,20,1,80.0
475,1900.00,13,0,54.2
476,2300.00,17,0,73.9
477,2100.00,15,0,68.2
478,2400.00,18,0,72.0
479,1699.00,16,1,80.0
480,2400.00,18,0,78.3
481,2700.00,21,0,84.0
482,2400.00,18,0,72.0
483,2600.00,20,0,76.9
484,2200.00,16,0,80.0
485,2200.00,16,0,69.6
486,2400.00,18,0,72.0
487,2400.00,18,0,81.8
488,1699.00,16,1,69.6
489,1699.00,16,1,69.6
490,2700.00,21,0,77.8
491,2100.00,15,0,62.5
492,1598.00,20,2,80.0
493,2000.00,14,0,63.6
494,2600.00,20,0,87.0
495,2200.00,16,0,72.7
496,2500.00,19,0,90.5
497,1899.00,18,1,75.0
498,2400.00,18,0,69.2
499,2300.00,17,0,73.9
500,2500.00,19,0,76.0
501,3000.00,24,0,88.9
502,2600.00,20,0,76.9
503,2400.00,18,0,72.0
504,1900.00,13,0,61.9
505,1900.00,13,0,61.9
506,2300.00,17,0,81.0
507,1900.00,13,0,59.1
508,1499.00,14,1,73.7
509,2000.00,14,0,70.0
510,2600.00,20,0,87.0
511,2300.00,17,0,65.4
512,2200.00,16,0,66.7
513,2700.00,21,0,84.0
514,2000.00,14,0,66.7
515,2400.00,18,0,78.3
516,2300.00,17,0,77.3
517,2400.00,18,0,75.0
518,2600.00,20,0,74.1
519,2300.00,17,0,81.0
520,2000.00,14,0,66.7
521,1499.00,14,1,58.3
522,1599.00,15,1,62.5
523,2600.00,20,0,74.1
524,2200.00,16,0,64.0
525,2200.00,16,0,66.7
526,2600.00,20,0,87.0
527,2100.00,15,0,62.5
528,2400.00,18,0,81.8
529,2300.00,17,0,77.3
530,1399.00,13,1,56.5
531,1499.00,14,1,66.7
532,1900.00,13,0,65.0
533,2200.00,16,0,76.2
534,2400.00,18,0,69.2
535,2200.00,16,0,80.0
536,998.00,14,2,66.7
537,1900.00,13,0,56.5
538,2400.00,18,0,81.8
539,2400.00,18,0,85.7
540,2300.00,17,0,70.8
541,2100.00,15,0,65.2
542,2400.00,18,0,81.8
543,1499.00,14,1,53.8
544,3000.00,24,0,92.3
545,1799.00,17,1,70.8
546,1800.00,12,0,60.0
547,2200.00,16,0,72.7
548,2600.00,20,0,76.9
549,2200.00,16,0,76.2
550,2600.00,20,0,87.0
551,2500.00,19,0,95.0
552,2500.00,19,0,73.1
553,2400.00,18,0,81.8
554,2200.00,16,0,76.2
555,2100.00,15,0,65.2
556,1700.00,11,0,57.9
557,2100.00,15,0,71.4
558,2000.00,14,0,70.0
559,2100.00,15,0,68.2
560,1999.00,19,1,76.0
561,2500.00,19,0,76.0
562,2500.00,19,0,79.2
563,1900.00,13,0,56.5
564,2500.00,19,0,73.1
565,2100.00,15,0,71.4
566,2400.00,18,0,81.8
567,2199.00,21,1,87.5
568,2400.00,18,0,90.0
569,1399.00,13,1,59.1
570,2000.00,14,0,66.7
571,2700.00,21,0,77.8
572,2300.00,17,0,85.0
573,1098.00,15,2,68.2
574,2400.00,18,0,78.3
575,1900.00,13,0,72.2
576,798.00,12,2,57.1
577,2099.00,20,1,80.0
578,2000.00,14,0,73.7
579,2100.00,15,0,71.4
580,2099.00,20,1,74.1
581,2200.00,16,0,59.3
582,2400.00,18,0,78.3
583,1999.00,19,1,82.6
584,1499.00,14,1,60.9
585,2100.00,15,0,68.2
586,2300.00,17,0,73.9
587,2400.00,18,0,72.0
588,2400.00,18,0,75.0
589,1899.00,18,1,72.0
590,2800.00,22,0,78.6
591,2500.00,19,0,76.0
592,1900.00,13,0,68.4
593,2100.00,15,0,75.0
594,2200.00,16,0,66.7
595,1800.00,12,0,63.2
596,2600.00,20,0,95.2
597,1999.00,19,1,76.0
598,1900.00,13,0,59.1
599,2100.00,15,0,71.4
600,1499.00,14,1,63.6
601,2300.00,17,0,85.0
602,2600.00,20,0,80.0
603,2900.00,23,0,85.2
604,2000.00,14,0,58.3
605,1599.00,15,1,68.2
606,2200.00,16,0,84.2
607,2400.00,18,0,78.3
608,2199.00,21,1,84.0
609,1699.00,16,1,69.6
610,2500.00,19,0,79.2
611,2000.00,14,0,66.7
612,2400.00,18,0,72.0
613,2000.00,14,0,66.7
614,2300.00,17,0,77.3
615,2200.00,16,0,69.6
616,1999.00,19,1,79.2
617,2000.00,14,0,73.7
618,2000.00,14,0,66.7
619,2300.00,17,0,77.3
620,1299.00,12,1,57.1
621,2200.00,16,0,76.2
622,2100.00,15,0,65.2
623,2400.00,18,0,75.0
624,2300.00,17,0,77.3
625,2200.00,16,0,84.2
626,1799.00,17,1,65.4
627,2300.00,17,0,68.0
628,1900.00,13,0,50.0
629,2700.00,21,0,75.0
630,2500.00,19,0,73.1
631,1700.00,11,0,57.9
632,2600.00,20,0,80.0
633,2100.00,15,0,75.0
634,2000.00,14,0,66.7
635,1599.00,15,1,68.2
636,2500.00,19,0,76.0
637,2000.00,14,0,58.3
638,2000.00,14,0,60.9
639,1399.00,13,1,59.1
640,2200.00,16,0,66.7
641,2200.00,16,0,80.0
642,2100.00,15,0,75.0
643,2200.00,16,0,76.2
644,1599.00,15,1,65.2
645,1398.00,18,2,75.0
646,2200.00,16,0,66.7
647,2200.00,16,0,76.2
648,2600.00,20,0,80.0
649,2200.00,16,0,76.2
650,1799.00,17,1,70.8
651,2200.00,16,0,76.2
652,2099.00,20,1,80.0
653,2300.00,17,0,70.8
654,1600.00,10,0,55.6
655,1899.00,18,1,75.0
656,1900.00,13,0,68.4
657,2100.00,15,0,65.2
658,2100.00,15,0,62.5
659,2900.00,23,0,88.5
660,1899.00,18,1,78.3
661,2900.00,23,0,85.2
662,1498.00,19,2,73.1
663,1700.00,11,0,55.0
664,2500.00,19,0,79.2
665,1899.00,18,1,75.0
666,2000.00,14,0,56.0
667,1900.00,13,0,59.1
668,2300.00,17,0,73.9
669,2400.00,18,0,72.0
670,2200.00,16,0,76.2
671,2200.00,16,0,69.6
672,2000.00,14,0,63.6
673,2400.00,18,0,81.8
674,2100.00,15,0,65.2
675,2100.00,15,0,75.0
676,2100.00,15,0,78.9
677,1299.00,12,1,63.2
678,2500.00,19,0,86.4
679,2500.00,19,0,82.6
680,2200.00,16,0,84.2
681,2299.00,22,1,84.6
682,2300.00,17,0,85.0
683,2300.00,17,0,81.0
684,1800.00,12,0,52.2
685,2500.00,19,0,82.6
686,1599.00,15,1,65.2
687,1799.00,17,1,70.8
688,2500.00,19,0,86.4
689,2200.00,16,0,69.6
690,2500.00,19,0,82.6
691,2500.00,19,0,73.1
692,1498.00,19,2,79.2
693,1198.00,16,2,69.6
694,1198.00,16,2,66.7
695,2500.00,19,0,76.0
696,2500.00,19,0,82.6
697,2500.00,19,0,73.1
698,2300.00,17,0,81.0
699,2400.00,18,0,72.0
700,2400.00,18,0,85.7
701,2300.00,17,0,68.0
702,1799.00,17,1,73.9
703,1999.00,19,1,73.1
704,2600.00,20,0,87.0
705,2100.00,15,0,75.0
706,2600.00,20,0,71.4
707,1999.00,19,1,73.1
708,2200.00,16,0,66.7
709,1900.00,13,0,65.0
710,2600.00,20,0,80.0
711,1699.00,16,1,69.6
712,2400.00,18,0,75.0
713,2400.00,18,0,78.3
714,2200.00,16,0,76.2
715,2300.00,17,0,73.9
716,2600.00,20,0,83.3
717,1800.00,12,0,60.0
718,2300.00,17,0,68.0
719,2400.00,18,0,81.8
720,2800.00,22,0,78.6
721,2700.00,21,0,84.0
722,2299.00,22,1,81.5
723,2800.00,22,0,88.0
724,2300.00,17,0,73.9
725,2000.00,14,0,63.6
726,2700.00,21,0,87.5
727,1699.00,16,1,66.7
728,1599.00,15,1,62.5
729,2100.00,15,0,65.2
730,2100.00,15,0,68.2
731,2400.00,18,0,78.3
732,2300.00,17,0,73.9
733,2500.00,19,0,79.2
734,2200.00,16,0,69.6
735,2100.00,15,0,71.4
736,2800.00,22,0,84.6
737,2200.00,16,0,66.7
738,1900.00,13,0,59.1
739,2200.00,16,0,76.2
740,1599.00,15,1,65.2
741,1999.00,19,1,76.0
742,2400.00,18,0,75.0
743,2200.00,16,0,76.2
744,1899.00,18,1,75.0
745,1599.00,15,1,62.5
746,3100.00,25,0,96.2
747,2500.00,19,0,82.6
748,2600.00,20,0,80.0
749,2100.00,15,0,65.2
750,1699.00,16,1,72.7
751,2900.00,23,0,88.5
752,1599.00,15,1,68.2
753,1799.00,17,1,81.0
754,1700.00,11,0,47.8
755,1198.00,16,2,59.3
756,2200.00,16,0,72.7
757,2700.00,21,0,84.0
758,2300.00,17,0,73.9
759,2100.00,15,0,65.2
760,1499.00,14,1,66.7
761,2500.00,19,0,73.1
762,2200.00,16,0,76.2
763,2700.00,21,0,87.5
764,1999.00,19,1,82.6
765,2100.00,15,0,62.5
766,2600.00,20,0,76.9
767,1999.00,19,1,73.1
768,2200.00,16,0,57.1
769,2600.00,20,0,83.3
770,2500.00,19,0,82.6
771,2900.00,23,0,82.1
772,2300.00,17,0,63.0
773,1899.00,18,1,75.0
774,2400.00,18,0,85.7
775,2600.00,20,0,74.1
776,2400.00,18,0,81.8
777,2100.00,15,0,57.7
778,2300.00,17,0,70.8
779,2400.00,18,0,75.0
780,2300.00,17,0,77.3
781,2199.00,21,1,80.8
782,1599.00,15,1,65.2
783,2400.00,18,0,78.3
784,2100.00,15,0,62.5
785,1498.00,19,2,82.6
786,497.00,14,3,60.9
787,2200.00,16,0,66.7
788,2100.00,15,0,62.5
789,2100.00,15,0,71.4
790,2200.00,16,0,66.7
791,2500.00,19,0,76.0
792,2200.00,16,0,76.2
793,2000.00,14,0,77.8
794,1799.00,17,1,77.3
795,2000.00,14,0,63.6
796,1900.00,13,0,65.0
797,1499.00,14,1,70.0
798,2500.00,19,0,90.5
799,2400.00,18,0,85.7
800,2600.00,20,0,83.3
801,2600.00,20,0,76.9
802,1699.00,16,1,72.7
803,2100.00,15,0,71.4
804,2700.00,21,0,77.8
805,2200.00,16,0,66.7
806,2700.00,21,0,80.8
807,2100.00,15,0,71.4
808,2200.00,16,0,72.7
809,2167.00,21,0,100.0
810,2600.00,20,0,83.3
811,2600.00,20,0,76.9
812,1699.00,16,1,64.0
813,2200.00,16,0,66.7
814,1900.00,13,0,59.1
815,2099.00,20,1,71.4
816,2600.00,20,0,76.9
817,1699.00,16,1,64.0
818,2300.00,17,0,89.5
819,3100.00,25,0,96.2
820,2200.00,16,0,69.6
821,2400.00,18,0,75.0
822,998.00,14,2,70.0
823,2300.00,17,0,81.0
824,2200.00,16,0,76.2
825,1999.00,19,1,76.0
826,2000.00,14,0,60.9
827,2300.00,17,0,70.8
828,2200.00,16,0,72.7
829,2500.00,19,0,76.0
830,1399.00,13,1,61.9
831,2000.00,14,0,73.7
832,1799.00,17,1,73.9
833,2400.00,18,0,81.8
834,2100.00,15,0,68.2
835,1700.00,11,0,61.1
836,1399.00,13,1,61.9
837,2200.00,16,0,66.7
838,2000.00,14,0,63.6
839,2400.00,18,0,81.8
840,2400.00,18,0,75.0
841,2099.00,20,1,76.9
842,1599.00,15,1,71.4
843,2300.00,17,0,81.0
844,2700.00,21,0,77.8
845,2300.00,17,0,77.3
846,1399.00,13,1,65.0
847,1800.00,12,0,54.5
848,1298.00,17,2,81.0
849,2400.00,18,0,66.7
850,2300.00,17,0,63.0
851,998.00,14,2,66.7
852,2200.00,16,0,61.5
853,2400.00,18,0,75.0
854,1899.00,18,1,75.0
855,2300.00,17,0,65.4
856,1699.00,16,1,69.6
857,2900.00,23,0,88.5
858,2200.00,16,0,72.7
859,2100.00,15,0,55.6
860,2800.00,22,0,84.6
861,1799.00,17,1,70.8
862,1699.00,16,1,72.7
863,2300.00,17,0,70.8
864,2300.00,17,0,68.0
865,2700.00,21,0,87.5
866,2900.00,23,0,92.0
867,2700.00,21,0,80.8
868,1399.00,13,1,61.9
869,2000.00,14,0,63.6
870,2200.00,16,0,61.5
871,2000.00,14,0,60.9
872,2200.00,16,0,76.2
873,2299.00,22,1,81.5
874,2000.00,14,0,70.0
875,2400.00,18,0,81.8
876,2400.00,18,0,85.7
877,2600.00,20,0,74.1
878,2200.00,16,0,72.7
879,1900.00,13,0,56.5
880,2000.00,14,0,70.0
881,1900.00,13,0,65.0
882,2700.00,21,0,87.5
883,2400.00,18,0,78.3
884,2199.00,21,1,80.8
885,2100.00,15,0,68.2
886,2200.00,16,0,76.2
887,2000.00,14,0,66.7
888,1999.00,19,1,79.2
889,1800.00,12,0,54.5
890,2300.00,17,0,81.0
891,2100.00,15,0,78.9
892,2200.00,16,0,72.7
893,2200.00,16,0,76.2
894,2600.00,20,0,87.0
895,2400.00,18,0,85.7
896,2000.00,14,0,63.6
897,2200.00,16,0,80.0
898,2200.00,16,0,69.6
899,1800.00,12,0,57.1
900,2100.00,15,0,78.9
901,2099.00,20,1,83.3
902,2200.00,16,0,69.6
903,2300.00,17,0,65.4
904,2400.00,18,0,78.3
905,2099.00,20,1,71.4
906,2100.00,15,0,83.3
907,2400.00,18,0,78.3
908,2000.00,14,0,70.0
909,2100.00,15,0,68.2
910,2000.00,14,0,66.7
911,2200.00,16,0,72.7
912,2200.00,16,0,80.0
913,2700.00,21,0,80.8
914,2100.00,15,0,71.4
915,2300.00,17,0,77.3
916,1499.00,14,1,66.7
917,2100.00,15,0,75.0
918,2000.00,14,0,58.3
919,2000.00,14,0,77.8
920,2600.00,20,0,74.1
921,2700.00,21,0,87.5
922,2200.00,16,0,72.7
923,2200.00,16,0,69.6
924,2400.00,18,0,69.2
925,1799.00,17,1,77.3
926,2200.00,16,0,72.7
927,2400.00,18,0,72.0
928,2200.00,16,0,64.0
929,1699.00,16,1,72.7
930,2400.00,18,0,75.0
931,2800.00,22,0,91.7
